Latimore	Let Me Go	It Ain't Where You Been		Henry Stone Music	14:00
Donny Hathaway	Hey Girl	Live		Atco Records	14:03
Knxwledge	nteven	VGM.11		Knxwledge	14:07
Wildcookie	Heroine	Cookie Dough		Tru Thoughts	14:09
Madlib	Montara feat. DJ Lord Such	Shades Of Blue: Madlib Invades Blue Note			14:13
Erykah Badu	Appletree	Baduizm		Universal Records	14:19
Charlotte Dos Santos	Away From You	Away From You		Because Music Ltd.	14:24
Odyssey	Hang Together	Hang Together		RCA Records	14:29
Teena Marie	I Need Your Lovin'	Irons In The Fire		Motown Records	14:35
Evans Pyramid	No I Won't	Evans Pyramid (1978-1998)		Cultures of Soul	14:42
Donald Byrd	Wind Parade	Places and Spaces		Blue Note Records	14:47
A Brief Encounter	Human	Human		Seventy Seven Records	14:52
Roy Ayers Ubiquity	Searching	Vibrations		Verve Music Group	14:56
